건축구분,대지위치,지목,대지면적(제곱미터),건축면적(제곱미터),연면적(제곱미터),허가일,최대지상층수,최대지하층수,주용도,부속용도
신축,서울특별시 서대문구 홍은동 402-23,대,214.20 ,106.81 ,394.57 ,2021-11-17,5,0,공동주택,공동체주택[도생(다세대)-원룸형]
신축,서울특별시 서대문구 대현동 90-3 외1필지,대,264.70 ,162.41 ,1464.58 ,2021-11-17,8,1,제1종근린생활시설,
신축,서울특별시 서대문구 홍은동 9-78,대,365.94 ,218.10 ,774.38 ,2021-11-16,5,1,제2종근린생활시설,사무소
신축,서울특별시 서대문구 창천동 504-1,대,298.50 ,173.47 ,656.21 ,2021-11-09,6,1,공동주택,도시형생활택(단지형 다세대주택)
신축,서울특별시 서대문구 남가좌동 330-40 외1필지,대,492.10 ,213.22 ,1611.78 ,2021-11-04,9,1,업무시설, 및 공동주택(다세대주택)
신축,서울특별시 서대문구 홍제동 266-142 외1필지,대,266.50 ,146.93 ,500.18 ,2021-10-29,5,0,공동주택, 제2종근린생활시설
신축,서울특별시 서대문구 연희동 132-79,대,284.00 ,106.89 ,299.03 ,2021-10-28,3,0,단독주택,단독주택
신축,서울특별시 서대문구 홍제동 192-29,대,287.00 ,143.42 ,682.23 ,2021-10-26,5,1,공동주택,"다세대주택, 근린생활시설"
신축,서울특별시 서대문구 홍제동 322-138 외1필지,대,1473.00 ,673.19 ,3834.57 ,2021-10-22,7,2,공동주택,
신축,서울특별시 서대문구 창천동 72-31 외2필지,대,511.60 ,231.58 ,3958.58 ,2021-10-20,20,2,공동주택,/오피스텔/판매시설
신축,서울특별시 서대문구 연희동 79-30,대,285.60 ,139.56 ,779.85 ,2021-10-19,6,1,공동주택,도시형생활주택/업무시설(오피스텔)
신축,서울특별시 서대문구 연희동 78-41,대,318.70 ,191.19 ,637.35 ,2021-10-12,5,0,공동주택,도시형생활주택(원룸형)
신축,서울특별시 서대문구 연희동 437-5,대,137.17 ,68.39 ,220.21 ,2021-10-12,2,1,제1종근린생활시설,소매점
신축,서울특별시 서대문구 연희동 433-26,대,335.08 ,167.50 ,548.42 ,2021-10-12,2,1,제1종근린생활시설,
신축,서울특별시 서대문구 연희동 91-8 외2필지,대,480.04 ,245.42 ,1072.81 ,2021-10-05,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 북가좌동 311-16,대,209.60 ,115.05 ,341.25 ,2021-10-05,5,0,단독주택,다중주택
신축,서울특별시 서대문구 홍은동 402-20 외1필지,대,231.40 ,115.48 ,431.94 ,2021-09-29,4,1,단독주택,"다가구주택-3가구,제1,2종근린생활시설(소매점,사무소)"
신축,서울특별시 서대문구 북가좌동 275-10,대,355.20 ,211.52 ,860.86 ,2021-09-23,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 홍제동 266-110,대,160.00 ,95.98 ,316.65 ,2021-09-15,5,0,단독주택,다중주택
신축,서울특별시 서대문구 북아현동 1-796 외1필지,대,218.07 ,87.07 ,231.47 ,2021-09-03,3,0,단독주택,다가구주택
신축,서울특별시 서대문구 대현동 90-102,대,262.80 ,134.49 ,2435.56 ,2021-09-02,18,2,업무시설,"제2종근린생활시설(일반음식점),업무시설(오피스텔)"
신축,서울특별시 서대문구 북아현동 1-1245,대,335.70 ,194.02 ,724.61 ,2021-09-01,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 연희동 446-183,대,397.00 ,197.63 ,878.07 ,2021-09-01,2,2,단독주택,다가구주택
신축,서울특별시 서대문구 연희동 116-9,대,279.00 ,137.90 ,444.47 ,2021-08-31,2,1,제1종근린생활시설,"소매점, 일반음식점"
신축,서울특별시 서대문구 창천동 501-11,대,208.80 ,122.02 ,451.24 ,2021-08-27,6,1,공동주택,도시형생활주택(다세대)
신축,서울특별시 서대문구 대현동 37-19 외2필지,대,353.20 ,227.78 ,2311.98 ,2021-08-27,10,1,업무시설,"(업무시설-오피스텔),(근생시설-소매점)"
신축,서울특별시 서대문구 천연동 98-17,대,1226.70 ,526.99 ,3669.13 ,2021-08-25,9,1,공동주택,아파트
신축,서울특별시 서대문구 홍제동 10-18,대,261.97 ,152.42 ,391.62 ,2021-08-24,5,0,공동주택,도시형생활주택(단지형다세대주택)
신축,서울특별시 서대문구 대신동 128-9,대,234.70 ,135.14 ,598.66 ,2021-08-24,4,1,공동주택,도시형생활주택(원룸형)-13세대
신축,서울특별시 서대문구 북아현동 189-25,대,486.80 ,224.36 ,1018.31 ,2021-08-20,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 홍제동 304-11,대,219.00 ,109.00 ,444.87 ,2021-08-20,5,1,공동주택,다세대주택
신축,서울특별시 서대문구 홍은동 206-34,대,218.01 ,130.70 ,435.60 ,2021-08-19,5,0,공동주택,다세대주택(10세대) 및 2종근린생활시설 (사무소)
신축,서울특별시 서대문구 연희동 85-4,대,319.30 ,159.57 ,490.76 ,2021-08-13,2,1,제1종근린생활시설,"휴게음식점, 소매점"
신축,서울특별시 서대문구 홍제동 311-2 외2필지,대,208.54 ,100.25 ,354.24 ,2021-08-10,4,0,공동주택,다세대주택
신축,서울특별시 서대문구 홍은동 265-13,대,258.36 ,153.67 ,533.07 ,2021-08-09,5,1,공동주택,다세대주택
신축,서울특별시 서대문구 홍제동 196-45 외2필지,대,217.72 ,108.70 ,425.10 ,2021-08-09,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 홍은동 195-35,대,104.88 ,62.70 ,199.82 ,2021-08-03,4,0,단독주택,다가구주택
신축,서울특별시 서대문구 창천동 53-29,대,216.90 ,121.24 ,433.41 ,2021-07-29,5,0,제2종근린생활시설,"제2종근린생활시설(일반음식점,사무소)"
신축,서울특별시 서대문구 연희동 344-137,대,270.00 ,133.81 ,595.26 ,2021-07-27,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 연희동 344-6,대,276.30 ,137.07 ,542.62 ,2021-07-21,6,1,공동주택,"사무소, 다세대주택"
신축,서울특별시 서대문구 홍은동 8-364,대,92.81 ,55.50 ,128.34 ,2021-07-19,4,0,단독주택,다가구
신축,서울특별시 서대문구 대현동 37-18,대,408.90 ,258.49 ,2967.86 ,2021-07-15,10,2,제1종근린생활시설,업무시설(오피스텔)
신축,서울특별시 서대문구 북가좌동 315-13,대,144.10 ,85.92 ,242.82 ,2021-07-12,4,0,단독주택,"(다가구주택-4가구),1종근생(소매점),2종근생(교습소)"
신축,서울특별시 서대문구 연희동 71-3,대,334.50 ,130.04 ,458.90 ,2021-07-12,3,1,단독주택,
신축,서울특별시 서대문구 홍은동 401-34 외1필지,대,309.00 ,185.15 ,613.30 ,2021-07-12,5,0,공동주택,다세대주택(10세대)
신축,서울특별시 서대문구 남가좌동 73-200,대,88.00 ,52.76 ,117.68 ,2021-07-06,3,0,단독주택,근린생활시설 및 단독(다가구)주택 
신축,서울특별시 서대문구 대신동 134-2 외2필지,대,214.00 ,126.88 ,558.18 ,2021-07-05,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 대신동 133,대,219.00 ,126.88 ,564.04 ,2021-07-05,4,1,공동주택,다세대주택
신축,서울특별시 서대문구 홍은동 10-217,대,169.00 ,101.19 ,305.69 ,2021-07-01,3,1,단독주택,다가구주택
신축,서울특별시 서대문구 홍은동 376-8 외1필지,대,395.99 ,233.62 ,874.83 ,2021-06-25,6,1,공동주택,도시형생활주택(단지형다세대주택)
신축,서울특별시 서대문구 홍제동 321-10,대,46.00 ,27.59 ,66.50 ,2021-06-24,3,0,제2종근린생활시설,사무소
신축,서울특별시 서대문구 창천동 31-53,대,84.00 ,38.40 ,234.42 ,2021-06-23,6,1,제1종근린생활시설,제과점
신축,서울특별시 서대문구 홍은동 403-16,대,264.50 ,132.25 ,641.21 ,2021-06-18,5,1,공동주택,다세대주택 (서울시 공동체주택)
신축,서울특별시 서대문구 북아현동 251-13 외1필지,대,152.00 ,78.00 ,537.96 ,2021-06-17,7,1,업무시설,오피스텔및제2종근린생활시설(사무소)
신축,서울특별시 서대문구 홍제동 330-301,대,79.00 ,39.35 ,132.73 ,2021-06-16,4,0,단독주택,
신축,서울특별시 서대문구 연희동 31-6,대,125.90 ,67.93 ,129.56 ,2021-06-14,3,0,단독주택,
신축,서울특별시 서대문구 홍은동 324-2,대,162.00 ,92.11 ,236.49 ,2021-06-14,5,0,공동주택,다세대주택
신축,서울특별시 서대문구 창천동 503-22,대,194.70 ,115.51 ,724.51 ,2021-06-14,10,1,공동주택,다세대주택
신축,서울특별시 서대문구 북가좌동 293-9 외1필지,대,348.40 ,173.01 ,697.24 ,2021-06-10,6,1,공동주택,도시형생활주택(단지형다세대)
신축,서울특별시 서대문구 연희동 170-32,대,169.00 ,100.43 ,308.67 ,2021-06-07,4,0,단독주택,(다가구주택-7가구)및제1종근린생활시설(휴게음식점)
신축,서울특별시 서대문구 연희동 187-56,대,521.30 ,306.92 ,997.64 ,2021-06-07,5,0,단독주택,"다가구주택(9가구),제2종근린생활시설"
신축,서울특별시 서대문구 창천동 372,대,397.00 ,233.52 ,1674.87 ,2021-06-04,9,2,공동주택,"다세대주택,오피스텔,근린생활시설"
신축,서울특별시 서대문구 연희동 170-35,대,96.23 ,56.28 ,134.80 ,2021-06-03,3,0,단독주택,
신축,서울특별시 서대문구 연희동 334-74,대,238.00 ,118.97 ,514.66 ,2021-06-02,5,1,공동주택,다세대주택
신축,서울특별시 서대문구 홍은동 189-33 외2필지,대,531.00 ,233.39 ,659.76 ,2021-05-25,5,0,공동주택,도시형생활주택(단지형다세대)
신축,서울특별시 서대문구 창천동 112-19 외1필지,대,445.00 ,266.76 ,1818.99 ,2021-05-25,10,1,공동주택,"도시형생활주택단지형다세대주택,오피스텔,근린생활시설"
신축,서울특별시 서대문구 북아현동 154-6 외22필지,대,1660.40 ,973.00 ,10632.29 ,2021-05-21,18,1,업무시설,오피스텔 및 근린생활시설
