연번,위치,규모(제곱미터),주용도,착공일,공사 종료일,데이터 기준일자
62,서울특별시 금천구 독산1동 1000-12,3572.9,업무시설,2022-10-19,,2022-11-22
63,서울특별시 금천구 독산1동 1006-143 외1필지,976.7,공동주택,2022-08-31,,2022-11-22
64,서울특별시 금천구 독산1동 1009-34 외1,3388.39,업무시설,2021-03-18,2022-05-30,2022-11-22
65,서울특별시 금천구 독산1동 146-8,1776.86,공동주택,2018-11-07,2019-11-01,2022-11-22
66,서울특별시 금천구 독산2동 378-503,432.47,단독주택,2022-05-23,2022-10-30,2022-11-22
67,서울특별시 금천구 독산2동 1054-2,719.08,공동주택,2022-04-29,2022-11-28,2022-11-22
68,서울특별시 금천구 독산2동 378-201,354.82,공동주택,2022-06-28,2023-01-20,2022-11-22
69,서울특별시 금천구 독산2동 378-206 외1필지,734.21,공동주택,2022-06-28,2023-03-20,2022-11-22
70,서울특별시 금천구 독산2동 378-261 외1필지,475.47,공동주택,2022-06-22,2022-11-14,2022-11-22
71,서울특별시 금천구 독산2동 378-271,237.66,단독주택,2022-02-18,2022-07-30,2022-11-22
72,서울특별시 금천구 독산2동 1070-13 외1필지,653.85,공동주택,2022-06-27,2022-09-12,2022-11-22
73,서울특별시 금천구 독산2동 1047-8,299.2,단독주택,2021-11-26,2022-04-15,2022-11-22
74,서울특별시 금천구 독산2동 1055-7,334.95,단독주택,2022-07-20,,2022-11-22
75,서울특별시 금천구 독산3동 234-17,585.81,공동주택,2022-10-11,,2022-11-22
76,서울특별시 금천구 독산3동 972-50 외2,597.78,공동주택,2022-06-10,2022-12-30,2022-11-22
77,서울특별시 금천구 독산3동 878-35 외1,658.52,공동주택,2022-06-09,2202-10-10,2022-11-22
78,서울특별시 금천구 독산3동 979-8 외1필지,658.98,공동주택,2022-06-24,2023-03-05,2022-11-22
79,서울특별시 금천구 독산3동 990-12 외3,7396.63,공동주택,2021-12-13,2022-10-10,2022-11-22
80,서울특별시 금천구 독산3동 958-43,191.81,단독주택,2021-11-25,2022-05-20,2022-11-22
81,서울특별시 금천구 독산3동 963-5,398.84,단독주택,2022-06-28,2022-11-04,2022-11-22
82,서울특별시 금천구 독산3동 889-1,297,제2종근린생활시설,2022-09-30,,2022-11-22
83,서울특별시 금천구 독산3동 952 외2,2174.73,업무시설,2021-04-09,2022-06-30,2022-11-22
84,서울특별시 금천구 독산4동 180-62,354.88,단독주택,2022-07-20,2023-01-21,2022-11-22
85,서울특별시 금천구 독산4동 935-4 외1,592-89,공동주택,2022-03-16,2022-09-14,2022-11-22
86,서울특별시 금천구 독산4동 1022-93 외2필지,656.51,공동주택,2022-08-08,2023-03-02,2022-11-22
87,서울특별시 금천구 독산4동 1022-101 외1필지,562.59,공동주택,2022-08-23,2023-02-19,2022-11-22
88,서울특별시 금천구 독산4동 1018-22,371.17,단독주택,2022-08-01,2023-01-24,2022-11-22
89,서울특별시 금천구 독산4동 1020-13,659.88,공동주택,2022-07-04,2023-02-14,2022-11-22
90,서울특별시 금천구 시흥1동 840-34 외1필지,555.27,공동주택,2022-09-16,,2022-11-22
91,서울특별시 금천구 시흥1동 854-10 외1,628.71,공동주택,2022-05-04,2023-09-30,2022-11-22
92,서울특별시 금천구 시흥1동 113-6 외1,2034.55,업무시설,2022-04-04,2023-03-31,2022-11-22
