시도,시군구,대지위치,연면적(제곱미터),주용도,착공처리일,준공예정일(사용승인예정일)
서울특별시,강남구,서울특별시 강남구 역삼동 721-30,3416,제2종근린생활시설,2022-09-01,2023-12-29
서울특별시,강남구,서울특별시 강남구 삼성동 114-29,665,제2종근린생활시설,2022-09-01,2023-05-01
서울특별시,강남구,서울특별시 강남구 역삼동 830-70,869,제2종근린생활시설,2022-09-01,2023-08-28
서울특별시,강남구,서울특별시 강남구 일원동 664-13,302,단독주택,2022-08-26,2023-02-18
서울특별시,강남구,서울특별시 강남구 대치동 898-10 외1필지,2510,제2종근린생활시설,2022-08-26,2022-08-31
서울특별시,강남구,서울특별시 강남구 논현동 30-9,1825,제1종근린생활시설,2022-08-23,2023-07-31
서울특별시,강남구,서울특별시 강남구 신사동 659-14,1438,제2종근린생활시설,2022-08-22,2023-11-01
서울특별시,강남구,서울특별시 강남구 일원동 665,293,공동주택,2022-08-22,2023-02-28
서울특별시,강남구,서울특별시 강남구 일원동 623,397,제2종근린생활시설,2022-08-18,2023-04-03
서울특별시,강남구,서울특별시 강남구 율현동 300-77,392,공동주택,2022-08-17,2022-12-31
서울특별시,강남구,서울특별시 강남구 논현동 35-19,574,제2종근린생활시설,2022-08-17,2023-02-15
서울특별시,강남구,서울특별시 강남구 청담동 40-9,597,제2종근린생활시설,2022-08-12,2023-05-17
서울특별시,강남구,서울특별시 강남구 논현동 28-8,1195,제2종근린생활시설,2022-08-09,2023-09-30
서울특별시,강남구,서울특별시 강남구 논현동 149-24,846,제2종근린생활시설,2022-08-09,2023-12-31
서울특별시,강남구,서울특별시 강남구 역삼동 689-20,1681,제2종근린생활시설,2022-08-05,2024-12-31
서울특별시,강남구,서울특별시 강남구 논현동 52-9,518,단독주택,2022-08-05,2023-05-30
서울특별시,강남구,서울특별시 강남구 논현동 183-15,865,제2종근린생활시설,2022-08-04,2023-07-31
서울특별시,강남구,서울특별시 강남구 청담동 19-11,468,제2종근린생활시설,2022-08-04,2023-02-28
서울특별시,강남구,서울특별시 강남구 역삼동 771-12,545,단독주택,2022-08-03,2223-05-31
서울특별시,강남구,서울특별시 강남구 역삼동 686-16,1825,제2종근린생활시설,2022-08-03,2023-07-14
서울특별시,강남구,서울특별시 강남구 역삼동 779-18,285,단독주택,2022-08-01,2023-04-30
서울특별시,강남구,서울특별시 강남구 일원동 673-1,425,공동주택,2022-07-28,2023-01-30
서울특별시,강남구,서울특별시 강남구 삼성동 142-27,2000,업무시설,2022-07-28,2023-09-30
서울특별시,강남구,서울특별시 강남구 도곡동 945,337,제2종근린생활시설,2022-07-27,2022-10-25
서울특별시,강남구,서울특별시 강남구 도곡동 945-1,325,제2종근린생활시설,2022-07-27,2022-10-25
서울특별시,강남구,서울특별시 강남구 논현동 44-1,1652,제2종근린생활시설,2022-07-26,2023-09-30
서울특별시,강남구,서울특별시 강남구 청담동 62-30,627,제2종근린생활시설,2022-07-25,2023-06-13
서울특별시,강남구,서울특별시 강남구 논현동 107-7,191,제2종근린생활시설,2022-07-20,2022-11-30
서울특별시,강남구,서울특별시 강남구 신사동 561-35,870,제2종근린생활시설,2022-07-18,2023-07-31
서울특별시,강남구,서울특별시 강남구 청담동 53-5,9503,공동주택,2022-07-14,2025-07-31
서울특별시,강남구,서울특별시 강남구 역삼동 670-23,661,제1종근린생활시설,2022-07-13,2023-02-28
