건축구분,허가번호,대지위치,대지면적,건축면적,연면적,단위,착공처리일,주용도,데이터기준일
신축,2022-건축과-신축허가-28,서울특별시 용산구 한남동 657-138,250,124.44,722.37,㎡,2022-08-18,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-27,서울특별시 용산구 한남동 726-162,527,152.69,985.1,㎡,2022-07-25,제2종근린생활시설,2022-11-18
대수선,2022-도시계획과-대수선허가-1,서울특별시 용산구 한강로2가 191 외3필지,"11,703.4","3,738.11","105,491.61",㎡,2022-07-21,업무시설,2022-11-18
신축,2022-건축과-신축허가-23,서울특별시 용산구 용산동2가 32-8,129.3,77.05,191.54,㎡,2022-06-24,단독주택,2022-11-18
신축,2022-건축과-신축허가-22,서울특별시 용산구 동빙고동 1-47,387,219.18,917.44,㎡,2022-07-08,공동주택,2022-11-18
신축,2022-건축과-신축허가-21,서울특별시 용산구 한남동 739-11,611.2,364.66,"2,690.59",㎡,2022-07-15,판매시설,2022-11-18
신축,2022-건축과-신축허가-18,서울특별시 용산구 효창동 5-77,186.4,108.96,357.75,㎡,2022-05-18,공동주택,2022-11-18
신축,2022-건축과-신축허가-16,서울특별시 용산구 이태원동 405-2 외1필지,331.6,190.64,617.14,㎡,2022-06-28,공동주택,2022-11-18
신축,2022-건축과-신축허가-13,서울특별시 용산구 청파동2가 37-2 외1필지,315.5,182.81,807.95,㎡,2022-07-12,공동주택,2022-11-18
신축,2022-건축과-신축허가-12,서울특별시 용산구 한남동 713-1,277.6,151.05,581.38,㎡,2022-07-29,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-9,서울특별시 용산구 이태원동 258-259,92,52.46,136.53,㎡,2022-07-06,단독주택,2022-11-18
신축,2022-건축과-신축허가-10,서울특별시 용산구 용산동2가 33-14,101,59.8,190.3,㎡,2022-06-13,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-8,서울특별시 용산구 효창동 5-554,108.8,64.23,199.09,㎡,2022-05-27,단독주택,2022-11-18
신축,2022-건축과-신축허가-6,서울특별시 용산구 후암동 410-16,109.49,51.11,163.15,㎡,2022-04-29,단독주택,2022-11-18
대수선,2022-건축과-대수선허가-3,서울특별시 용산구 한남동 683-39,225.5,131.39,627.78,㎡,2022-06-03,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-5,서울특별시 용산구 이태원동 151-6,172,96.73,365.17,㎡,2022-10-14,단독주택,2022-11-18
신축,2022-건축과-신축허가-3,서울특별시 용산구 이태원동 63-39,193.68,114.51,504.43,㎡,2022-07-19,단독주택,2022-11-18
신축,2022-건축과-신축허가-4,서울특별시 용산구 한남동 738-15 외1필지,297.92,177.98,"1,077.24",㎡,2022-05-30,제2종근린생활시설,2022-11-18
신축,2022-건축과-신축허가-2,서울특별시 용산구 이태원동 322,279,166.5,711.62,㎡,2022-09-27,공동주택,2022-11-18
신축,2022-주택공급과-신축허가-2,서울특별시 용산구 갈월동 98-6,"1,892.2","1,129.6347","23,738.0916",㎡,2022-05-24,공동주택,2022-11-18
신축,2022-건축과-신축허가-1,서울특별시 용산구 용산동2가 34-34,178.4,100.43,367.53,㎡,2022-07-25,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-166,서울특별시 용산구 원효로3가 46-5,193.9,116.27,499.51,㎡,2022-11-08,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-164,서울특별시 용산구 서계동 96-15,263.5,144.47,652.37,㎡,2022-01-25,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-161,서울특별시 용산구 이태원동 210-23,348.67,203.31,581.3,㎡,2022-09-23,공동주택,2022-11-18
신축,2021-건축과-신축허가-162,서울특별시 용산구 한남동 31-1 외1필지,355,176.28,997.68,㎡,2022-09-15,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-160,서울특별시 용산구 이태원동 36-24,183,91.2,463.01,㎡,2022-04-26,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-158,서울특별시 용산구 효창동 5-359 외1필지,319.5,178.72,478.3,㎡,2022-05-18,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-156,서울특별시 용산구 이태원동 258-65,407,122.08,831.85,㎡,2022-04-25,제1종근린생활시설,2022-11-18
대수선,2021-건축과-대수선허가-34,서울특별시 용산구 서계동 220-5,551.09,241.98,451.64,㎡,2022-04-15,제1종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-153,서울특별시 용산구 이태원동 154-13,411.84,240.82,772.75,㎡,2022-04-15,단독주택,2022-11-18
신축,2021-건축과-신축허가-154,서울특별시 용산구 청파동3가 114-4,121.16,66.93,292.99,㎡,2022-04-11,제2종근린생활시설,2022-11-18
대수선,2021-건축과-대수선허가-32,서울특별시 용산구 갈월동 7-96,433.4,161.33,291.35,㎡,2022-03-15,단독주택,2022-11-18
신축,2021-건축과-신축허가-150,서울특별시 용산구 한남동 437,134.01,79.93,327.43,㎡,2022-09-23,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-146,서울특별시 용산구 후암동 58-19,111.4,63.8,180.8,㎡,2022-03-10,단독주택,2022-11-18
신축,2021-건축과-신축허가-147,서울특별시 용산구 이태원동 223-11,265,158.89,613.38,㎡,2022-07-21,공동주택,2022-11-18
신축,2021-건축과-신축허가-142,서울특별시 용산구 서계동 33-41,106.8,58.58,171.66,㎡,2022-01-21,제2종근린생활시설,2022-11-18
신축,2021-건축과-신축허가-143,서울특별시 용산구 한남동 11-276,571,170.67,"1,162.92",㎡,2022-06-13,공동주택,2022-11-18
신축,2021-건축과-신축허가-144,서울특별시 용산구 원효로4가 104 외1필지,167.53,97.05,330.14,㎡,2022-04-06,공동주택,2022-11-18
신축,2021-건축과-신축허가-141,서울특별시 용산구 청파동1가 100-10,340.4,203.63,652.22,㎡,2022-06-22,공동주택,2022-11-18
