건축구분,대지위치,지목,대지면적,건축면적,연면적,허가일,착공처리일,사용승인일,최대지상층수,최대지하층수,주용도,부속용도,데이터기준일자
신축,서울특별시 은평구 응암동 98-26,대,346.8,155.94,"1,028.88",2022-03-22,2022-05-02,,6,1,제1종근린생활시설,소매점,2022-10-07
신축,서울특별시 은평구 대조동 50-19 외1필지,대,294,176.24,540.1,2022-03-22,2022-05-11,,5,0,공동주택,도시형생활주택(단지형다세대),2022-10-07
신축,서울특별시 은평구 역촌동 77-9 외1필지,대,177.7,106.09,362.28,2022-03-21,2022-07-25,,4,0,단독주택,다가구주택,2022-10-07
신축,서울특별시 은평구 갈현동 407-31 외1필지,대,291.3,157.92,579.6,2022-03-16,2022-04-29,,6,0,공동주택,도시형생활주택(다세대),2022-10-07
신축,서울특별시 은평구 응암동 358-8 외4필지,대,418.32,144.54,659.6,2022-03-15,2022-04-18,,6,0,공동주택,도시형생활주택(단지형다세대),2022-10-07
신축,서울특별시 은평구 갈현동 12-371,대,134.5,77.3,201.28,2022-03-15,2022-06-13,,5,0,공동주택,다세대주택(도시형생활주택),2022-10-07
신축,서울특별시 은평구 불광동 329-29 외1필지,대,260.57,156.3,521.12,2022-03-14,2022-05-13,,5,0,공동주택,도시형생활주택(단지형다세대),2022-10-07
신축,서울특별시 은평구 응암동 357,대,76,41.13,117.41,2022-03-11,2022-04-18,,3,0,단독주택,단독주택,2022-10-07
신축,서울특별시 은평구 갈현동 476-10,대,262.4,157.28,463.4,2022-03-07,2022-05-24,,4,0,단독주택,다가주주택및근린생활시설,2022-10-07
신축,서울특별시 은평구 진관동 335-1 외2필지,전,"2,860",199.99,196.45,2022-03-04,2022-07-13,,1,0,야영장시설,,2022-10-07
신축,서울특별시 은평구 갈현동 510-6,대,185.2,110.72,350.64,2022-03-02,2022-07-25,,3,1,단독주택,다중주택,2022-10-07
신축,서울특별시 은평구 응암동 91-3,대,664.2,388.36,"5,827.31",2022-02-25,2022-09-07,,19,2,공동주택,아파트 및 오피스텔,2022-10-07
신축,서울특별시 은평구 불광동 484-292,대,136,79.15,271.92,2022-02-24,2022-04-19,,5,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 역촌동 14-60,대,276.22,138.05,659.73,2022-02-23,2022-03-31,,6,0,공동주택,도시형생활주택(단지형다세대주택),2022-10-07
신축,서울특별시 은평구 역촌동 25-117,대,172.5,97.82,399.01,2022-02-23,2022-06-13,,4,1,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 불광동 419-7,대,119.93,64.97,170.38,2022-02-17,2022-05-19,,4,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 응암동 97-12,대,174.2,103.88,248.93,2022-02-15,2022-04-14,,4,0,단독주택,다가구주택 및 근린생활시설,2022-10-07
신축,서울특별시 은평구 신사동 266-24 외1필지,대,243,144.89,364.2,2022-02-08,2022-05-02,,5,0,공동주택,단지형 다세대주택,2022-10-07
신축,서울특별시 은평구 신사동 14-12,대,396,214.07,699.97,2022-01-26,2022-02-24,,6,1,공동주택,도시형생활주택(단지형다세대 주택),2022-10-07
신축,서울특별시 은평구 역촌동 57-42,대,195,109.66,416.86,2022-01-19,2022-04-29,,4,1,단독주택,근린생활시설및단독주택,2022-10-07
신축,서울특별시 은평구 역촌동 14-36 외3필지,대,448.27,211.58,883.88,2022-01-17,2022-04-14,,6,1,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 구산동 20-47 외1필지,대,270.46,162,540.41,2022-01-10,2022-06-15,,5,0,공동주택,,2022-10-07
신축,서울특별시 은평구 진관동 211-37,대,164.6,79.38,127.98,2021-12-30,2022-03-18,,2,0,단독주택,,2022-10-07
신축,서울특별시 은평구 응암동 593-9,대,87.11,51.97,158.28,2021-12-30,2022-05-19,,4,0,단독주택,제2종근린생활시설,2022-10-07
신축,서울특별시 은평구 응암동 111-30,대,301.39,178.56,"1,433.98",2021-12-24,2022-05-03,,9,1,공동주택,"도시형생활주택,업무시설",2022-10-07
신축,서울특별시 은평구 녹번동 86-123,대,305.03,182.85,562.18,2021-12-23,2022-06-27,,6,0,공동주택,도시형생활주택(단지형다세대),2022-10-07
신축,서울특별시 은평구 불광동 393-10,대,201.4,119.1,394,2021-12-20,2022-06-23,,5,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 신사동 337-28 외1필지,대,272.09,135.8,574.33,2021-12-20,2022-02-09,,6,1,공동주택,도시형생활주택(단지형다세대),2022-10-07
신축,서울특별시 은평구 갈현동 507-23 외1필지,대,226.1,135.34,451.91,2021-12-15,2022-02-25,,5,0,공동주택,도시형생활주택(원룸형),2022-10-07
신축,서울특별시 은평구 갈현동 12-373,대,139,78.14,253.45,2021-12-14,2022-06-27,,4,1,공동주택,"다세대주택,근린생활시설",2022-10-07
신축,서울특별시 은평구 갈현동 529-1,대,146.4,84.99,313.23,2021-12-14,2022-04-05,,4,1,단독주택,다중주택,2022-10-07
신축,서울특별시 은평구 응암동 113-8,대,149.8,78.73,671.56,2021-12-09,2022-07-08,,9,1,업무시설,오피스텔,2022-10-07
신축,서울특별시 은평구 불광동 444-66,대,195,113.28,415.34,2021-12-08,2022-06-07,,4,1,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 대조동 15-49,대,370,221.83,"2,129.12",2021-12-03,2022-08-09,,14,1,공동주택,아파트(14세대),2022-10-07
신축,서울특별시 은평구 응암동 397-108 외1필지,대,297,177.99,578.01,2021-11-24,2022-04-18,,5,0,공동주택,,2022-10-07
신축,서울특별시 은평구 갈현동 510-20,대,111.02,66.49,199.8,2021-11-23,2022-06-02,,3,1,단독주택,,2022-10-07
신축,서울특별시 은평구 구산동 177-37 외1필지,대,315,183.04,829.78,2021-11-23,2022-02-11,,5,1,공동주택,다세대주택(도시형생활주택),2022-10-07
신축,서울특별시 은평구 응암동 590-11 외3필지,대,724,431.58,"4,402.35",2021-11-15,2022-07-14,,11,2,공동주택,"제2종근린생활시설,주거용오피스텔,아파트",2022-10-07
신축,서울특별시 은평구 신사동 26-30 외1필지,대,398.6,215.92,659.81,2021-11-09,2022-01-19,,6,0,공동주택,도시형생활주택,2022-10-07
신축,서울특별시 은평구 응암동 697 외2필지,대,636.5,367.29,"1,655.08",2021-11-05,2021-12-28,,6,1,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 증산동 175-14,대,273.5,163.97,531.38,2021-11-04,2022-05-26,,5,0,공동주택,다세대주택(도시형생활주택 원룸형),2022-10-07
신축,서울특별시 은평구 응암동 769-2,학교용지,568.9,340.53,"1,582.10",2021-11-04,2021-11-23,,5,2,교육연구시설,"(유치원) 및 1종,2종긍린생홯시설",2022-10-07
신축,서울특별시 은평구 신사동 19-100 외2필지,대,"5,022.30","3,003.06","42,954.14",2021-11-02,2022-06-03,,25,4,공동주택,도시형생활주택,2022-10-07
신축,서울특별시 은평구 구산동 177-58,대,162,97.1,293.48,2021-10-29,2022-07-29,,4,0,단독주택,다가구주택 및 사무소,2022-10-07
신축,서울특별시 은평구 역촌동 61-60 외1필지,대,307.3,181.09,611.91,2021-10-29,2022-02-09,,5,0,공동주택,다세대주택(12세대),2022-10-07
신축,서울특별시 은평구 구산동 308-134,대,225.7,135.34,337.84,2021-10-28,2022-01-29,,4,0,제1종근린생활시설,제2종근린생활시설/단독주택(다가구주택),2022-10-07
신축,서울특별시 은평구 불광동 447-3 외2필지,대,342.1,178.04,509.93,2021-10-25,2022-04-26,,5,0,공동주택,도시형생활주택(단지형다세대주택),2022-10-07
신축,서울특별시 은평구 갈현동 12-272,대,191.64,114.49,276.73,2021-10-22,2022-06-02,,5,0,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 불광동 172-16,대,136.2,67.23,199.96,2021-10-19,2022-05-11,,3,1,단독주택,다중주택,2022-10-07
신축,서울특별시 은평구 역촌동 1-12 외1필지,대,745.5,365.25,"2,835.36",2021-10-14,2022-04-05,,11,1,업무시설,근생/오피스텔 및 다세대주택,2022-10-07
신축,서울특별시 은평구 진관동 193-14,대,230.4,103.32,292.94,2021-10-01,2021-12-15,,2,1,단독주택,,2022-10-07
신축,서울특별시 은평구 불광동 267,대,358,203.32,"1,423.29",2021-09-27,2022-06-17,,8,1,제1종근린생활시설,"휴게음식점, 의원, 사무실,소매점",2022-10-07
신축,서울특별시 은평구 응암동 591-17 외1필지,대,325.8,177.75,725.64,2021-09-27,2022-03-10,,7,1,제2종근린생활시설,,2022-10-07
신축,서울특별시 은평구 불광동 281-115,대,142,84.73,652.32,2021-09-14,2022-03-14,,8,1,제2종근린생활시설,"제2종 근린생활시설, 업무시설(오피스텔)",2022-10-07
신축,서울특별시 은평구 불광동 444-35,대,204,119.83,398.65,2021-09-07,2022-02-24,,4,1,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 역촌동 36-42 외1필지,대,324.7,194.43,709.67,2021-09-07,2021-11-29,,6,1,공동주택,다세대주택,2022-10-07
신축,서울특별시 은평구 불광동 281-67,대,155,92.75,704.11,2021-09-03,2022-08-02,,8,2,업무시설,오피스텔13호 및 근린생활시설,2022-10-07
신축,서울특별시 은평구 역촌동 47-48,대,266.5,149.75,532.45,2021-08-27,2022-06-14,,6,0,공동주택,도시형생활주택(단지형다세대),2022-10-07
