건축구분,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),착공처리일,사용승인일,최대지상층수,최대지하층수,최고높이(m),동수,주용도,부속용도,
신축,서울특별시 마포구 신수동 89-4,대,179,104,341.27,2022-10-13,,5,0,15.9,1,공동주택,다세대주택,
신축,서울특별시 마포구 창전동 13-11,대,271.28,135.3,262.2,2022-07-14,,2,0,8.65,1,제2종근린생활시설,,
증축,서울특별시 마포구 연남동 385-8,대,126.06,75.39,280.33,2022-07-05,,3,1,12.3,1,제2종근린생활시설,제2종근린생활시설(일반음식점),
신축,서울특별시 마포구 서교동 247-206 외1필지,대,236.6,130.1,619.97,2022-09-21,,5,1,17.55,1,단독주택,다가구주택,
신축,서울특별시 마포구 창전동 6-142,대,188,112.21,468.16,2022-09-14,,4,1,11.86,1,제2종근린생활시설,일반음식점,
신축,서울특별시 마포구 망원동 465-27 외1필지,대,263.52,155.76,512.69,2022-07-25,,6,0,17.5,1,공동주택,(도시형생활주택 단지형다세대),
대수선,서울특별시 마포구 신수동 85-9 외2필지,대,165,98.61,368.76,2022-07-12,,5,,12.1,1,제2종근린생활시설,일반음식점,
대수선,서울특별시 마포구 연남동 241-39,대,135.9,79.03,234.66,2022-10-25,,3,1,10.4,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 합정동 361-28,대,120,71.73,321.85,2022-09-16,,4,1,11.95,1,제2종근린생활시설,일반음식점,
대수선,서울특별시 마포구 성산동 210-1,대,183.5,96.58,466.13,2022-07-27,,4,1,12.2,1,제2종근린생활시설,사무소,
대수선,서울특별시 마포구 서교동 409-1,대,369.3,208.52,1147.31,2022-06-27,,5,1,15.3,1,제2종근린생활시설,,
대수선,서울특별시 마포구 서교동 404-22,대,297.8,166.92,646.71,2022-09-02,,5,,14.75,1,제2종근린생활시설,,
증축,서울특별시 마포구 상암동 115-1 외1필지,대,262,154.98,776.98,2022-10-20,,4,1,13.2,1,제2종근린생활시설,,
신축,서울특별시 마포구 서교동 395-193,대,289.6,169.7,704.82,2022-09-14,,5,1,15.6,1,제2종근린생활시설,사무소,
증축,서울특별시 마포구 연남동 227-28 외3필지,대,104,60.81,262.52,2022-07-05,,4,1,13.105,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 망원동 380-49,대,146.1,84.59,290.89,2022-07-21,,4,0,13.05,1,제2종근린생활시설,사무소,
