건축구분,대지위치,지목,대지면적(㎡),건축면적(㎡),연면적(㎡),착공처리일,사용승인일,최대지상층수,최대지하층수,최고높이(m),동수,주용도,부속용도,
신축,서울특별시 마포구 신수동 89-12,대,260.25,148.86,549.4,2022-02-17,,6,1,19.5,1,공동주택,도시형생활주택및 근린생활시설,
신축,서울특별시 마포구 서교동 395-206,대,475,279.23,1606.69,2021-11-18,,5,2,19.72,1,제2종근린생활시설,사진관,
신축,서울특별시 마포구 상암동 2-187 외2필지,대,412,204.71,1217.38,2021-09-08,,6,1,20.42,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 신수동 400-1 외3필지,대,667,258.2,2275.4,2022-04-21,,7,2,20.31,1,공동주택,아파트,
신축,서울특별시 마포구 신수동 400-1 외3필지,대,667,258.2,2275.4,2022-04-21,,7,2,20.31,1,공동주택,아파트,
신축,서울특별시 마포구 신공덕동 9-19,대,61.59,36.16,147.76,2021-11-17,,4,1,12.89,1,단독주택,,
신축,서울특별시 마포구 망원동 394-84,대,95.4,48.16,128.28,2022-07-20,,3,0,8.8,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 서교동 362-1,대,343.8,204.42,1122.55,2022-02-12,,6,2,28.14,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 상수동 143-30,대,129.61,72.15,358.6,2021-09-14,,5,1,17,1,제1종근린생활시설,휴게음식점,
신축,서울특별시 마포구 동교동 198-6,대,166.98,99.49,327.42,2021-12-28,,4,0,14.15,1,단독주택,다가구주택,
신축,서울특별시 마포구 성산동 81-81,대,175,104.58,440.62,2021-11-10,,5,1,14.85,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 상암동 2-176 외8필지,대,195.72,92.55,595.52,2022-05-20,,7,1,24.2,1,제2종근린생활시설,제1.2종근린생활시설,
신축,서울특별시 마포구 상수동 88-13 외1필지,대,224.58,111.02,594.17,2021-11-30,,5,1,18.3,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 중동 216 외1필지,대,365.99,212.82,837.33,2021-09-23,,5,1,16.6,1,공동주택,근생 및 다세대주택,
증축,서울특별시 마포구 성산동 515,대,216712.0,58673.67,166627.18,2021-07-13,,1,,4.4,11,운동시설,,
신축,서울특별시 마포구 합정동 391-1,대,275.5,162.45,721.56,2021-09-30,,5,1,22.1,1,제2종근린생활시설,,
신축,서울특별시 마포구 상수동 354-12,대,617.49,306.73,1829.66,2021-09-01,,7,2,33.04,1,업무시설,,
신축,서울특별시 마포구 연남동 382-6,대,77.4,45.61,200.39,2021-12-03,,4,1,14.2,1,제2종근린생활시설,일반 음식점 사무소,
신축,서울특별시 마포구 망원동 461-1,대,111.4,66.06,222.51,2021-06-03,,5,0,17.7,1,제2종근린생활시설,일반음식점 휴게음식점,
신축,서울특별시 마포구 서교동 445-4,대,559.3,273.01,2105.25,2021-08-27,,8,2,33.4,1,제2종근린생활시설,음식점 및 사무소,
대수선,서울특별시 마포구 아현동 353-32 외1필지,대,71.46,52.14,156.42,2021-05-20,,3,,9.4,1,제2종근린생활시설,,
증축,서울특별시 마포구 상암동 1487,대,125.4,70.4,280.76,2021-06-04,,5,,15.94,1,단독주택,제2종근린생활시설,
신축,서울특별시 마포구 공덕동 242-86 외1필지,대,310.4,185.43,602.25,2022-04-26,,4,0,13.84,1,제1종근린생활시설,의원 일반음식점 체육도장 사무소,
대수선,서울특별시 마포구 서교동 358-80,대,347.1,110.58,238.45,2021-04-21,,2,1,9.4,1,제2종근린생활시설,사무실,
신축,서울특별시 마포구 공덕동 465,종교용지,427.9,195.69,1248.87,2021-11-11,,6,2,28.5,1,종교시설,교회,
신축,서울특별시 마포구 동교동 162-15 외2필지,대,1833.7,1097.28,16923.91,2021-06-08,,11,5,60.7,1,제2종근린생활시설,판매시설 중 상점,
신축,서울특별시 마포구 동교동 162-15 외2필지,대,1833.7,1097.28,16923.91,2021-06-08,,11,5,60.7,1,제2종근린생활시설,판매시설 중 상점,
신축,서울특별시 마포구 동교동 162-15 외2필지,대,1833.7,1097.28,16923.91,2021-06-08,,11,5,60.7,1,제2종근린생활시설,판매시설 중 상점,
신축,서울특별시 마포구 동교동 162-15 외2필지,대,1833.7,1097.28,16923.91,2021-06-08,,11,5,60.7,1,제2종근린생활시설,판매시설 중 상점,
신축,서울특별시 마포구 서교동 372-8,대,243,145.56,1241.07,2021-10-27,,10,1,46.6,1,공동주택,오피스텔 및 제2종근린생활시설(공연장) 및 도시형생활주택,
신축,서울특별시 마포구 성산동 593-6,대,1452.35,870.34,10728.68,2021-07-20,,14,4,49.8,1,업무시설,오피스텔,
신축,서울특별시 마포구 공덕동 7-171 외6필지,대,586.13,345.2,1986.9,2021-11-02,,5,2,22.41,1,제1종근린생활시설,제1종 근린생활시설(소매점 휴게음식점 의원) 및 제2종 근린생활시설(사무소),
신축,서울특별시 마포구 서교동 378-3,대,140.8,80.44,448.17,2021-08-10,,7,0,26.8,1,제2종근린생활시설,,
신축,서울특별시 마포구 상수동 86-29,대,155.69,88.24,295.15,2022-04-25,,5,0,14.4,1,공동주택,도시형생활주택(원룸형주택),
신축,서울특별시 마포구 연남동 241-22 외1필지,대,229.8,134.66,575.15,2021-08-09,,5,1,18.7,1,제2종근린생활시설,사무소,
신축,서울특별시 마포구 연남동 240-9,대,398.4,233.58,776.99,2021-12-13,,5,0,15.45,1,공동주택,다세대주택(도시형생활주택 원룸형),
신축,서울특별시 마포구 서교동 460-25,대,3622.1,2097.77,17607.61,2021-03-30,,7,3,30.9,1,숙박시설,관광숙박시설,
신축,서울특별시 마포구 서교동 460-25,대,3622.1,2097.77,17607.61,2021-03-30,,7,3,30.9,1,숙박시설,관광숙박시설,
신축,서울특별시 마포구 서교동 460-25,대,3622.1,2097.77,17607.61,2021-03-30,,7,3,30.9,1,숙박시설,관광숙박시설,
신축,서울특별시 마포구 토정동 3-30 외4필지,대,798.64,428.08,2784.63,2021-04-21,,7,2,23.3,1,공동주택,아파트,
신축,서울특별시 마포구 서교동 460-6,대,405,193.74,701.36,2021-07-08,,5,0,14.6,1,공동주택,사회주택,
신축,서울특별시 마포구 성산동 95-13,답,870,386.67,1380.0,2021-03-08,,5,0,22.3,1,업무시설,공공업무시설,
증축,서울특별시 마포구 연남동 369-1,대,26466.4,6729.63,27581.53,2022-06-09,,3,1,16.9,10,교육연구시설,,
증축,서울특별시 마포구 공덕동 105-1,대,10737.0,4457.68,47601.96,2021-11-25,,7,,52.65,2,업무시설,공공업무시설,
신축,서울특별시 마포구 노고산동 56-74 외2필지,대,1837.4,1100.99,13511.16,2020-11-17,,15,6,55.39,1,공동주택,도시형생활주택,
신축,서울특별시 마포구 창전동 5-57 외1필지,대,491,206.1,1123.7,2021-04-21,,8,1,24.54,1,공동주택,도시형생활주택,
신축,서울특별시 마포구 아현동 353-2 외4필지,대,334.8,199.75,1653.57,2022-07-07,,8,3,34.78,1,제1종근린생활시설,근린생활시설교육연구시설,
신축,서울특별시 마포구 서교동 371-13,대,477.4,285.22,2835.37,2020-05-28,,10,2,48,1,업무시설,사무소,
신축,서울특별시 마포구 아현동 275-2 외8필지,대,3487.37,1908.76,27327.04,2020-06-15,,18,6,58.35,1,공동주택,도시형생활주택/근린생활시설/종교시설,
신축,서울특별시 마포구 아현동 275-2 외8필지,대,3487.37,1908.76,27327.04,2020-06-15,,18,6,58.35,1,공동주택,도시형생활주택/근린생활시설/종교시설,
신축,서울특별시 마포구 아현동 275-2 외8필지,대,3487.37,1908.76,27327.04,2020-06-15,,18,6,58.35,1,공동주택,도시형생활주택/근린생활시설/종교시설,
신축,서울특별시 마포구 아현동 275-2 외8필지,대,3487.37,1908.76,27327.04,2020-06-15,,18,6,58.35,1,공동주택,도시형생활주택/근린생활시설/종교시설,
신축,서울특별시 마포구 아현동 275-2 외8필지,대,3487.37,1908.76,27327.04,2020-06-15,,18,6,58.35,1,공동주택,도시형생활주택/근린생활시설/종교시설,
증축,서울특별시 마포구 상수동 72-1 외6필지,대,94361.78,33853.55,269685.6,2021-06-04,,2,4,12,27,교육연구시설,대학교,
증축,서울특별시 마포구 상수동 72-1 외6필지,대,94361.78,33853.55,269685.6,2021-06-04,,2,4,12,27,교육연구시설,대학교,
증축,서울특별시 마포구 상수동 72-1 외6필지,대,94361.78,33853.55,269685.6,2021-06-04,,2,4,12,27,교육연구시설,대학교,
증축,서울특별시 마포구 상수동 72-1 외6필지,대,94361.78,33853.55,269685.6,2021-06-04,,2,4,12,27,교육연구시설,대학교,
신축,서울특별시 마포구 동교동 201-8,대,273.4,135.62,842.36,2021-04-30,,5,1,23,1,제2종근린생활시설,제과점,
대수선,서울특별시 마포구 용강동 40-5,대,246.3,122.55,662.11,2019-10-04,,4,1,14.1,1,제1종근린생활시설,제1종근린생활시설제2종근린생활시설(사무소),
대수선,서울특별시 마포구 연남동 565-15,대,1612.4,702.36,3940.92,2019-08-08,,5,1,16.5,1,제2종근린생활시설,,
신축,서울특별시 마포구 성산동 239-17,대,155.51,92.8,295.59,2020-04-24,,4,0,14.5,1,단독주택,다가구주택,
용도변경,서울특별시 마포구 구수동 70-3,대,259,119.91,580.34,2019-08-09,,4,1,16.5,1,제1종근린생활시설,치과의원.소매점,
증축,서울특별시 마포구 아현동 618-1,대,6661.2,2389.565,12824.63,2019-07-15,,5,1,0,4,업무시설,,
신축,서울특별시 마포구 염리동 95-1,대,155,72.66,217.98,2022-01-07,,3,0,10.3,1,제2종근린생활시설,,
신축,서울특별시 마포구 연남동 453-18 외1필지,대,128.53,75.92,334.66,2019-05-20,,5,1,15.99,1,단독주택,다가구주택(2가구) 및 제12종근생(소매점사무소),
대수선,서울특별시 마포구 서교동 466-2,대,769.6,403.28,2259.83,2022-03-30,,6,2,23.35,1,업무시설,,
신축,서울특별시 마포구 연남동 453-26,대,81.27,46.43,189.03,2019-05-20,,4,1,14.1,1,단독주택,다가구주택(3가구) 및 제2종 근린생활시설(사무소),
신축,서울특별시 마포구 성산동 39-30,대,165,91.52,280.22,2022-05-09,,4,1,15.12,1,공동주택,다세대주택,
신축,서울특별시 마포구 상수동 316-7,대,103.12,51.2,228.46,2020-05-07,,5,0,15,1,제1종근린생활시설,휴게음식점,
신축,서울특별시 마포구 성산동 165-85,대,101.37,51.48,145.77,2019-07-03,,4,0,11.9,1,공동주택,다세대주택/사무소,
증축,서울특별시 마포구 공덕동 370-4,대,20393.6,8730.2,46516.41,2019-10-30,,8,,34.05,5,자동차관련시설,업무시설 내 부설주차장,
증축,서울특별시 마포구 상수동 72-1 외6필지,학교용지,94361.78,32060.2,252464.33,2021-02-03,,5,6,64.75,26,교육연구시설,대학교,
증축,서울특별시 마포구 상수동 72-1 외6필지,학교용지,94361.78,32060.2,252464.33,2021-02-03,,5,6,64.75,26,교육연구시설,대학교,
증축,서울특별시 마포구 상수동 72-1 외6필지,학교용지,94361.78,32060.2,252464.33,2021-02-03,,5,6,64.75,26,교육연구시설,대학교,
증축,서울특별시 마포구 상수동 72-1 외6필지,학교용지,94361.78,32060.2,252464.33,2021-02-03,,5,6,64.75,26,교육연구시설,대학교,
