시군구,대지위치,연면적(제곱미터),주용도 변환,주용도,착공처리일,준공예정일(사용승인예정일),지번주소,건축면적,위도,경도
강남구,서울특별시 강남구 대치동 913-12 외1필지,2939,근린생활시설,제1종근린생활시설,2022-09-22,2023-11-30,대치동 913-12,,37.5020724,127.0588155
강남구,서울특별시 강남구 논현동 73-3,633,근린생활시설,제2종근린생활시설,2022-09-22,2023-09-30,논현동 73-3,,37.5182556,127.0306665
강남구,서울특별시 강남구 세곡동 427 외1필지,650,주택,단독주택,2022-09-22,2023-04-30,세곡동 427,,37.4684831,127.0989416
강남구,서울특별시 강남구 삼성동 38-15,729,근린생활시설,제2종근린생활시설,2022-09-21,2023-07-14,삼성동 38-15,,37.5116794,127.0467875
강남구,서울특별시 강남구 역삼동 655-23,725,근린생활시설,제1종근린생활시설,2022-09-21,2023-07-31,역삼동 655-23,,37.5072757,127.0387497
강남구,서울특별시 강남구 대치동 984-5,868,근린생활시설,제2종근린생활시설,2022-09-19,2023-05-31,대치동 984-5,,37.5016846,127.0663799
강남구,서울특별시 강남구 대치동 988-1,2440,편의시설,교육연구시설,2022-09-19,2024-06-19,대치동 988-1,,37.4998535,127.0607875
강남구,서울특별시 강남구 삼성동 10-5,763,근린생활시설,제2종근린생활시설,2022-09-15,2023-01-31,삼성동 10-5,,37.514469,127.0433303
강남구,서울특별시 강남구 삼성동 122-20,580,근린생활시설,제2종근린생활시설,2022-09-15,2023-04-30,삼성동 122-20,,37.510522,127.0526727
강남구,서울특별시 강남구 논현동 187-23,682,근린생활시설,제2종근린생활시설,2022-09-08,2023-07-20,논현동 187-23,,37.5068594,127.0282814
강남구,서울특별시 강남구 대치동 982-12,441,근린생활시설,제1종근린생활시설,2022-09-08,2023-03-24,대치동 982-12,,37.5022206,127.0653384
강남구,서울특별시 강남구 개포동 1167-4,542,주택,공동주택,2022-09-08,2023-02-23,개포동 1167-4,,37.4734244,127.0526222
강남구,서울특별시 강남구 논현동 266,1133,근린생활시설,제2종근린생활시설,2022-09-08,2023-10-31,논현동 266,,37.5132106,127.0411542
강남구,서울특별시 강남구 도곡동 948-23,649,업무시설,업무시설,2022-09-07,2023-03-31,도곡동 948-23,,37.4878724,127.0338771
강남구,서울특별시 강남구 논현동 73-37,595,근린생활시설,제2종근린생활시설,2022-09-05,2023-07-01,논현동 73-37,,37.5178188,127.0312434
강남구,서울특별시 강남구 신사동 535,729,근린생활시설,제2종근린생활시설,2022-09-01,2023-05-29,신사동 535,,37.5204413,127.0224434
강남구,서울특별시 강남구 역삼동 721-30,3416,근린생활시설,제2종근린생활시설,2022-09-01,2023-12-29,역삼동 721-30,,37.4996429,127.0434086
강남구,서울특별시 강남구 삼성동 114-29,665,근린생활시설,제2종근린생활시설,2022-09-01,2023-05-01,삼성동 114-29,,37.5108911,127.047914
강남구,서울특별시 강남구 역삼동 830-70,869,근린생활시설,제2종근린생활시설,2022-09-01,2023-08-28,역삼동 830-70,,37.4942764,127.0330313
강남구,서울특별시 강남구 일원동 664-13,302,주택,단독주택,2022-08-26,2023-02-18,일원동 664-13,,37.4914567,127.0844455
강남구,서울특별시 강남구 대치동 898-10 외1필지,2510,근린생활시설,제2종근린생활시설,2022-08-26,2022-08-31,대치동 898-10,,37.5015752,127.0508394
강남구,서울특별시 강남구 논현동 30-9,1825,근린생활시설,제1종근린생활시설,2022-08-23,2023-07-31,논현동 30-9,,37.5164472,127.0276006
강남구,서울특별시 강남구 신사동 659-14,1438,근린생활시설,제2종근린생활시설,2022-08-22,2023-11-01,신사동 659-14,,37.5270549,127.0376802
강남구,서울특별시 강남구 일원동 665,293,주택,공동주택,2022-08-22,2023-02-28,일원동 665,,37.4910257,127.0846385
강남구,서울특별시 강남구 일원동 623,397,근린생활시설,제2종근린생활시설,2022-08-18,2023-04-03,일원동 623,,37.4941008,127.0822838
강남구,서울특별시 강남구 율현동 300-77,392,주택,공동주택,2022-08-17,2022-12-31,율현동 300-77,,37.4703942,127.1030778
강남구,서울특별시 강남구 논현동 35-19,574,근린생활시설,제2종근린생활시설,2022-08-17,2023-02-15,논현동 35-19,,37.5154102,127.0285936
강남구,서울특별시 강남구 청담동 40-9,597,근린생활시설,제2종근린생활시설,2022-08-12,2023-05-17,청담동 40-9,,37.5191464,127.0413384
강남구,서울특별시 강남구 논현동 28-8,1195,근린생활시설,제2종근린생활시설,2022-08-09,2023-09-30,논현동 28-8,,37.5150069,127.0263388
강남구,서울특별시 강남구 논현동 149-24,846,근린생활시설,제2종근린생활시설,2022-08-09,2023-12-31,논현동 149-24,,37.5107141,127.0283921
강남구,서울특별시 강남구 역삼동 689-20,1681,근린생활시설,제2종근린생활시설,2022-08-05,2024-12-31,역삼동 689-20,,37.5057179,127.0420904
강남구,서울특별시 강남구 논현동 52-9,518,주택,단독주택,2022-08-05,2023-05-30,논현동 52-9,,37.5123976,127.022753
강남구,서울특별시 강남구 논현동 183-15,865,근린생활시설,제2종근린생활시설,2022-08-04,2023-07-31,논현동 183-15,,37.5066494,127.0259813
강남구,서울특별시 강남구 청담동 19-11,468,근린생활시설,제2종근린생활시설,2022-08-04,2023-02-28,청담동 19-11,,37.5219627,127.0431837
강남구,서울특별시 강남구 역삼동 771-12,545,주택,단독주택,2022-08-03,2223-05-31,역삼동 771-12,,37.4972127,127.0432926
강남구,서울특별시 강남구 역삼동 686-16,1825,근린생활시설,제2종근린생활시설,2022-08-03,2023-07-14,역삼동 686-16,,37.5075184,127.0418932
강남구,서울특별시 강남구 역삼동 779-18,285,주택,단독주택,2022-08-01,2023-04-30,역삼동 779-18,,37.495993,127.0448858
강남구,서울특별시 강남구 일원동 673-1,425,주택,공동주택,2022-07-28,2023-01-30,일원동 673-1,,37.4903562,127.0837024
강남구,서울특별시 강남구 삼성동 142-27,2000,업무시설,업무시설,2022-07-28,2023-09-30,삼성동 142-27,,37.5060813,127.0521758
강남구,서울특별시 강남구 도곡동 945,337,근린생활시설,제2종근린생활시설,2022-07-27,2022-10-25,도곡동 945,,37.4892794,127.0332698
강남구,서울특별시 강남구 도곡동 945-1,325,근린생활시설,제2종근린생활시설,2022-07-27,2022-10-25,도곡동 945-1,,37.489228,127.03305
강남구,서울특별시 강남구 논현동 44-1,1652,근린생활시설,제2종근린생활시설,2022-07-26,2023-09-30,논현동 44-1,,37.5133504,127.0234645
강남구,서울특별시 강남구 청담동 62-30,627,근린생활시설,제2종근린생활시설,2022-07-25,2023-06-13,청담동 62-30,,37.5220755,127.049117
강남구,서울특별시 강남구 논현동 107-7,191,근린생활시설,제2종근린생활시설,2022-07-20,2022-11-30,논현동 107-7,,37.5181578,127.0371044
강남구,서울특별시 강남구 신사동 561-35,870,근린생활시설,제2종근린생활시설,2022-07-18,2023-07-31,신사동 561-35,,37.5196043,127.0259385
강남구,서울특별시 강남구 청담동 53-5,9503,주택,공동주택,2022-07-14,2025-07-31,청담동 53-5,,37.5243893,127.0534692
강남구,서울특별시 강남구 역삼동 670-23,661,근린생활시설,제1종근린생활시설,2022-07-13,2023-02-28,역삼동 670-23,,37.5028301,127.0382197
강남구,서울특별시 강남구 역삼동 827-76,734,근린생활시설,제2종근린생활시설,2022-07-12,2023-05-31,역삼동 827-76,,37.4960752,127.0317426
강남구,서울특별시 강남구 대치동 912-5,768,근린생활시설,제2종근린생활시설,2022-07-12,2023-06-30,대치동 912-5,,37.5019503,127.0570528
강남구,서울특별시 강남구 역삼동 781-12,439,주택,공동주택,2022-07-11,2022-12-30,역삼동 781-12,,37.4947398,127.0420157
강남구,서울특별시 강남구 논현동 78-3,948,근린생활시설,제2종근린생활시설,2022-07-08,2023-04-30,논현동 78-3,,37.5168568,127.031723
강남구,서울특별시 강남구 청담동 85-17,1228,근린생활시설,제1종근린생활시설,2022-07-07,2023-06-25,청담동 85-17,,37.524553,127.039932
강남구,서울특별시 강남구 논현동 73,493,근린생활시설,제2종근린생활시설,2022-07-06,2023-04-15,논현동 73,,37.5181386,127.0302393
강남구,서울특별시 강남구 논현동 189-12,646,주택,공동주택,2022-07-05,2022-12-31,논현동 189-12,,37.5080788,127.0303977
강남구,서울특별시 강남구 삼성동 62-10,826,근린생활시설,제1종근린생활시설,2022-07-04,2023-01-31,삼성동 62-10,,37.5173231,127.0541286
강남구,서울특별시 강남구 논현동 153-9,447,주택,단독주택,2022-07-04,2023-03-30,논현동 153-9,,37.5098558,127.0303148
강남구,서울특별시 강남구 율현동 328-3,273,주택,단독주택,2022-07-01,2023-02-28,율현동 328-3,,37.4695675,127.1040994
강남구,서울특별시 강남구 역삼동 752-8,377,근린생활시설,제2종근린생활시설,2022-07-01,2022-12-31,역삼동 752-8,,37.4953338,127.0345183
강남구,서울특별시 강남구 청담동 46-13,1298,근린생활시설,제1종근린생활시설,2022-07-01,2023-04-27,청담동 46-13,,37.5187831,127.0487786
강남구,서울특별시 강남구 청담동 44-14,4174,근린생활시설,제2종근린생활시설,2022-06-30,2023-12-31,청담동 44-14,,37.518231,127.0454553
강남구,서울특별시 강남구 청담동 78-14 외1필지,3322,근린생활시설,제2종근린생활시설,2022-06-30,2024-02-28,청담동 78-14,,37.5273465,127.0411859
강남구,서울특별시 강남구 삼성동 32-8,537,주택,공동주택,2022-06-30,2023-04-15,삼성동 32-8,,37.5133168,127.044691
강남구,서울특별시 강남구 논현동 140-23,804,근린생활시설,제2종근린생활시설,2022-06-28,2023-02-10,논현동 140-23,,37.5097043,127.023736
강남구,서울특별시 강남구 청담동 53-6,1165,근린생활시설,제2종근린생활시설,2022-06-27,2023-12-30,청담동 53-6,,37.5241639,127.0533499
강남구,서울특별시 강남구 역삼동 817-14,736,근린생활시설,제2종근린생활시설,2022-06-27,2023-05-30,역삼동 817-14,,37.5001305,127.0277511
강남구,서울특별시 강남구 신사동 559-11,459,근린생활시설,제2종근린생활시설,2022-06-23,2023-06-09,신사동 559-11,,37.5200701,127.0258239
강남구,서울특별시 강남구 삼성동 119-12,638,근린생활시설,제1종근린생활시설,2022-06-23,2023-05-31,삼성동 119-12,,37.5120619,127.0531125
강남구,서울특별시 강남구 논현동 146-6,1084,근린생활시설,제2종근린생활시설,2022-06-23,2023-04-15,논현동 146-6,,37.5097239,127.0254448
강남구,서울특별시 강남구 신사동 642-14,1000,근린생활시설,제2종근린생활시설,2022-06-23,2023-03-03,신사동 642-14,,37.5263369,127.0365875
강남구,서울특별시 강남구 청담동 88-19,737,근린생활시설,제2종근린생활시설,2022-06-23,2023-03-30,청담동 88-19,,37.5251739,127.0409434
강남구,서울특별시 강남구 논현동 5-8,720,근린생활시설,제1종근린생활시설,2022-06-22,2023-03-02,논현동 5-8,,37.5174002,127.0242817
강남구,서울특별시 강남구 논현동 262-9,854,근린생활시설,제2종근린생활시설,2022-06-21,2023-06-14,논현동 262-9,,37.5119312,127.0373891
강남구,서울특별시 강남구 개포동 169-8,346,주택,공동주택,2022-06-21,2022-11-10,개포동 169-8,,37.4840891,127.0616305
강남구,서울특별시 강남구 논현동 16-21,795,근린생활시설,제2종근린생활시설,2022-06-20,2023-03-31,논현동 16-21,,37.5152291,127.0212897
강남구,서울특별시 강남구 논현동 222-15,602,근린생활시설,제2종근린생활시설,2022-06-17,2023-03-28,논현동 222-15,,37.5102349,127.0335776
강남구,서울특별시 강남구 청담동 123-11,594,근린생활시설,제2종근린생활시설,2022-06-17,2022-12-15,청담동 123-11,,37.5261717,127.0507971
강남구,서울특별시 강남구 논현동 179-22,837,근린생활시설,제2종근린생활시설,2022-06-15,2022-12-30,논현동 179-22,,37.507452,127.0295609
강남구,서울특별시 강남구 개포동 1216-6,430,주택,공동주택,2022-06-14,2023-02-12,개포동 1216-6,,37.4780496,127.048817
강남구,서울특별시 강남구 삼성동 62-17,324,주택,단독주택,2022-06-13,2023-02-09,삼성동 62-17,,37.5170432,127.0541638
강남구,서울특별시 강남구 삼성동 41-12 외1필지,930,주택,공동주택,2022-06-13,2023-03-30,삼성동 41-12,,37.5124734,127.0466971
강남구,서울특별시 강남구 삼성동 143-23,1998,업무시설,업무시설,2022-06-08,2023-08-29,삼성동 143-23,,37.5068068,127.0536562
강남구,서울특별시 강남구 신사동 657-14,599,근린생활시설,제2종근린생활시설,2022-06-07,2023-01-31,신사동 657-14,,37.5258466,127.037457
강남구,서울특별시 강남구 삼성동 93-15,638,근린생활시설,제1종근린생활시설,2022-06-03,2022-12-31,삼성동 93-15,,37.5167456,127.0612489
강남구,서울특별시 강남구 신사동 626-48,547,근린생활시설,제2종근린생활시설,2022-06-03,2022-12-31,신사동 626-48,,37.5234583,127.032097
강남구,서울특별시 강남구 역삼동 828-42,870,근린생활시설,제2종근린생활시설,2022-05-31,2023-06-01,역삼동 828-42,,37.4970562,127.033139
강남구,서울특별시 강남구 청담동 125-8,1529,업무시설,업무시설,2022-05-31,2023-05-30,청담동 125-8,,37.5254319,127.0523677
강남구,서울특별시 강남구 개포동 171-8,358,주택,공동주택,2022-05-30,2023-02-28,개포동 171-8,,37.4844224,127.0610474
강남구,서울특별시 강남구 역삼동 681-6,447,근린생활시설,제2종근린생활시설,2022-05-30,2023-02-17,역삼동 681-6,,37.5087651,127.0405188
강남구,서울특별시 강남구 신사동 664-5 외2필지,3722,업무시설,업무시설,2022-05-30,2023-10-31,신사동 664-5,,37.5276374,127.0400565
강남구,서울특별시 강남구 도곡동 413 외1필지,859,주택,공동주택,2022-05-27,2023-02-28,도곡동 413,,37.4847385,127.0425075
강남구,서울특별시 강남구 역삼동 659-11 외1필지,1768,업무시설,업무시설,2022-05-27,2023-06-03,역삼동 659-11,,37.5061535,127.0350565
강남구,서울특별시 강남구 대치동 905-6,651,근린생활시설,제2종근린생활시설,2022-05-27,2023-03-31,대치동 905-6,,37.502126,127.0542378
강남구,서울특별시 강남구 논현동 64-8,600,주택,단독주택,2022-05-27,2023-04-30,논현동 64-8,,37.5192382,127.0311651
강남구,서울특별시 강남구 논현동 157-2,679,근린생활시설,제2종근린생활시설,2022-05-26,2023-02-28,논현동 157-2,,37.5087895,127.0274171
강남구,서울특별시 강남구 역삼동 834-7 외1필지,2614,근린생활시설,제2종근린생활시설,2022-05-26,2023-11-30,역삼동 834-7,,37.4940278,127.0341427
강남구,서울특별시 강남구 역삼동 610-9 외1필지,994,근린생활시설,제2종근린생활시설,2022-05-24,2022-11-01,역삼동 610-9,,37.5051273,127.0316495
